Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2020,august,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,540,1936.137037,27.96296296,Montreal
2020,august,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,470,1892,15.53191489,Montreal
2020,august,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / St-Sulpice,45.5042425,-73.5534695,434,2141.147465,19.12442396,Montreal
2020,august,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,302,1277.695364,90.39735099,Montreal
2020,august,Rosemont / Viau,45.5683302,-73.5666633,Rosemont / Viau,45.5683302,-73.5666633,281,1650.320285,50.17793594,Montreal
2020,august,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Plage,45.5026587,-73.5275352,269,1132.501859,47.95539033,Montreal
2020,august,Parc Plage,45.5026587,-73.5275352,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,257,1108.466926,48.24902724,Montreal
2020,august,de la Commune / Berri,45.51086,-73.54983,de la Commune / Berri,45.51086,-73.54983,226,1605.446903,31.4159292,Montreal
2020,august,Crescent / de Maisonneuve,45.4981116,-73.5776154,Crescent / de Maisonneuve,45.4981116,-73.5776154,209,1104,89.95215311,Montreal
2020,august,Marché Atwater,45.4802082,-73.5775986,de la Commune / St-Sulpice,45.5042425,-73.5534695,206,1442.757282,36.89320388,Montreal
2020,august,de la Commune / St-Sulpice,45.5042425,-73.5534695,Marché Atwater,45.4802082,-73.5775986,205,1392.75122,41.46341463,Montreal
2020,august,La Ronde,45.5215654,-73.5353324,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,199,910.758794,31.65829146,Montreal
2020,august,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,199,2147.316583,41.70854271,Montreal
2020,august,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,175,1629.051429,20,Montreal
2020,august,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,Aylwin / Ontario,45.5443031,-73.5454725,174,232.454023,91.37931034,Montreal
2020,august,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,La Ronde,45.5215654,-73.5353324,171,867.0760234,33.91812865,Montreal
2020,august,Métro Atwater (Atwater / Ste-Catherine),45.4894762,-73.5845657,St-Mathieu / Ste-Catherine,45.4936796,-73.5791463,165,465.8121212,81.81818182,Montreal
2020,august,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,Valois / Ontario,45.5470481,-73.5434461,162,291.8518519,95.0617284,Montreal
2020,august,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / Berri,45.51086,-73.54983,160,1162.15625,36.25,Montreal
2020,august,Marquette / du Mont-Royal,45.53229,-73.57544,Marquette / du Mont-Royal,45.53229,-73.57544,160,984.88125,89.375,Montreal
2020,august,Gary-Carter / St-Laurent,45.5358998,-73.6224425,Gary-Carter / St-Laurent,45.5358998,-73.6224425,159,1681.515723,76.10062893,Montreal
2020,august,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,Marché Atwater,45.4802082,-73.5775986,158,1463.512658,29.11392405,Montreal
2020,august,Marché Atwater,45.4802082,-73.5775986,Marché Atwater,45.4802082,-73.5775986,155,1839.541935,40,Montreal
2020,august,Valois / Ontario,45.5470481,-73.5434461,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,149,294.409396,97.31543624,Montreal
2020,august,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Marquette / Laurier,45.53543,-73.5822,147,347.5646259,95.23809524,Montreal
2020,august,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Laurier / de Brébeuf,45.532514,-73.5848111,145,263.1586207,96.55172414,Montreal
2020,august,Marché Atwater,45.4802082,-73.5775986,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,144,1554.458333,34.02777778,Montreal
2020,august,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,143,1148.230769,46.85314685,Montreal
2020,august,Mackay / René-Lévesque,45.494435,-73.5740983,Mackay / René-Lévesque,45.494435,-73.5740983,142,1108.612676,89.43661972,Montreal
2020,august,Ryde / Charlevoix,45.4757434,-73.5646007,Métro Charlevoix (Centre / Charlevoix),45.4782279,-73.5696512,141,205.4822695,100,Montreal
