Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2020,july,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,582,1806.505155,38.1443299,Montreal
2020,july,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,432,1787.55787,18.51851852,Montreal
2020,july,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / St-Sulpice,45.5042425,-73.5534695,427,1966.194379,24.82435597,Montreal
2020,july,Rosemont / Viau,45.5683302,-73.5666633,Rosemont / Viau,45.5683302,-73.5666633,335,1716.286567,49.55223881,Montreal
2020,july,Marché Atwater,45.4802082,-73.5775986,de la Commune / St-Sulpice,45.5042425,-73.5534695,247,1377.044534,37.65182186,Montreal
2020,july,de la Commune / Berri,45.51086,-73.54983,de la Commune / Berri,45.51086,-73.54983,227,1957.052863,33.03964758,Montreal
2020,july,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Plage,45.5026587,-73.5275352,223,1044.44843,47.98206278,Montreal
2020,july,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,221,2169.565611,33.03167421,Montreal
2020,july,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,219,1999.246575,52.51141553,Montreal
2020,july,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,202,1413.717822,32.67326733,Montreal
2020,july,Parc Plage,45.5026587,-73.5275352,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,195,1016.220513,41.02564103,Montreal
2020,july,Notre-Dame / Liébert,45.5928026,-73.5104656,Notre-Dame / Liébert,45.5928026,-73.5104656,190,1943.2,67.36842105,Montreal
2020,july,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Laurier / de Brébeuf,45.532514,-73.5848111,182,262.532967,93.95604396,Montreal
2020,july,de la Commune / St-Sulpice,45.5042425,-73.5534695,Marché Atwater,45.4802082,-73.5775986,181,1388.519337,38.12154696,Montreal
2020,july,Mackay / René-Lévesque,45.494435,-73.5740983,Mackay / René-Lévesque,45.494435,-73.5740983,179,1004.977654,78.77094972,Montreal
2020,july,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,171,1304.216374,48.5380117,Montreal
2020,july,Crescent / de Maisonneuve,45.4981116,-73.5776154,Crescent / de Maisonneuve,45.4981116,-73.5776154,163,1131.748466,95.70552147,Montreal
2020,july,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4716686,-73.5826439,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4716686,-73.5826439,162,1728.240741,49.38271605,Montreal
2020,july,Métro Atwater (Atwater / Ste-Catherine),45.4894762,-73.5845657,St-Mathieu / Ste-Catherine,45.4936796,-73.5791463,158,387.3417722,89.87341772,Montreal
2020,july,des Bassins / du Séminaire,45.4905646,-73.5603333,des Bassins / du Séminaire,45.4905646,-73.5603333,156,1685.724359,64.1025641,Montreal
2020,july,Métro Viau (Pierre-de-Coubertin / Viau),45.5617828,-73.5466111,de Ville-Marie / Ste-Catherine,45.5579707,-73.52917,149,404.9530201,86.57718121,Montreal
2020,july,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789,148,1821.783784,76.35135135,Montreal
2020,july,Young / Wellington,45.4928253,-73.5579783,Young / Wellington,45.4928253,-73.5579783,148,1442.925676,78.37837838,Montreal
2020,july,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,147,1036.789116,89.79591837,Montreal
2020,july,Place du Commerce,45.46714,-73.54259,Elgar / de l'Île-des-Sœurs,45.4568232,-73.5468042,147,701.8979592,57.14285714,Montreal
2020,july,Métro Vendôme (de Marlowe / de Maisonneuve),45.4739303,-73.6047345,Métro Atwater (Atwater / Ste-Catherine),45.4894762,-73.5845657,145,761.5310345,93.10344828,Montreal
