Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2020,november,Mackay / René-Lévesque,45.494435,-73.5740983,Mackay / René-Lévesque,45.494435,-73.5740983,139,1014.057554,90.64748201,Montreal
2020,november,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,126,1753.484127,26.98412698,Montreal
2020,november,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / St-Sulpice,45.5042425,-73.5534695,75,1767.24,44,Montreal
2020,november,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789,67,2537.686567,65.67164179,Montreal
2020,november,Rosemont / Viau,45.5683302,-73.5666633,Rosemont / Viau,45.5683302,-73.5666633,67,1472.656716,43.28358209,Montreal
2020,november,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Laurier / de Brébeuf,45.532514,-73.5848111,64,263.234375,95.3125,Montreal
2020,november,Marquette / Laurier,45.53543,-73.5822,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,61,314.6885246,96.72131148,Montreal
2020,november,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,61,1682.377049,32.78688525,Montreal
2020,november,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,de Lanaudière / Laurier,45.5333136,-73.5837369,60,228.1,91.66666667,Montreal
2020,november,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,59,1761.932203,32.20338983,Montreal
2020,november,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Marquette / Laurier,45.53543,-73.5822,59,274.9491525,96.61016949,Montreal
2020,november,Marché Atwater,45.4802082,-73.5775986,de la Commune / St-Sulpice,45.5042425,-73.5534695,52,1425.211538,28.84615385,Montreal
2020,november,Crescent / de Maisonneuve,45.4981116,-73.5776154,Crescent / de Maisonneuve,45.4981116,-73.5776154,51,858.8627451,88.23529412,Montreal
2020,november,de la Commune / St-Sulpice,45.5042425,-73.5534695,Marché Atwater,45.4802082,-73.5775986,50,1430.36,32,Montreal
2020,november,du Mont-Royal / Clark,45.51941,-73.58685,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,46,532.1304348,91.30434783,Montreal
2020,november,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,Aylwin / Ontario,45.5443031,-73.5454725,46,190.5652174,95.65217391,Montreal
2020,november,Marquette / du Mont-Royal,45.53229,-73.57544,Gauthier / Papineau,45.5296663,-73.5673365,45,342.2222222,100,Montreal
2020,november,Pontiac / Gilford,45.5270093,-73.585766,Gilford / de Brébeuf,45.5308162,-73.581626,44,184.7045455,100,Montreal
2020,november,de la Commune / Berri,45.51086,-73.54983,de la Commune / Berri,45.51086,-73.54983,43,2529.930233,37.20930233,Montreal
2020,november,Pontiac / Gilford,45.5270093,-73.585766,Gilford / de Lanaudière,45.532008,-73.5804445,42,243.1428571,92.85714286,Montreal
2020,november,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,Garnier / du Mont-Royal,45.53092,-73.57674,41,405.5853659,92.68292683,Montreal
2020,november,Gilford / de Lanaudière,45.532008,-73.5804445,Pontiac / Gilford,45.5270093,-73.585766,41,239.3414634,100,Montreal
2020,november,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,Valois / Ontario,45.5470481,-73.5434461,41,300.3902439,92.68292683,Montreal
2020,november,Desjardins / Ontario,45.5511919,-73.5408725,Bennett / Ste-Catherine,45.5530533,-73.5324275,41,300.195122,97.56097561,Montreal
2020,november,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4716686,-73.5826439,Marché Atwater,45.4802082,-73.5775986,41,654.804878,60.97560976,Montreal
2020,november,Bennett / Ste-Catherine,45.5530533,-73.5324275,Bennett / Pierre-de-Coubertin,45.5581597,-73.5484001,41,392.4634146,92.68292683,Montreal
2020,november,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,41,1979.829268,48.7804878,Montreal
2020,november,Laurier / de Brébeuf,45.532514,-73.5848111,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,40,241.925,97.5,Montreal
2020,november,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.5542138,-73.5515597,Desjardins / Ontario,45.5511919,-73.5408725,40,376.6,95,Montreal
2020,november,Métro Verdun (Willibrord / de Verdun),45.4594877,-73.5720921,Argyle / de Verdun,45.4530158,-73.571915,40,208.875,97.5,Montreal
2020,november,Métro Villa-Maria (de Monkland / Décarie),45.4789684,-73.6195993,de Hampton / de Monkland,45.4711793,-73.6270022,39,380.3589744,97.43589744,Montreal
2020,november,Parc Kent (de Kent / Hudson),45.5057209,-73.6294591,de Kent / de la Côte-des-Neiges,45.5014493,-73.6330506,39,699.6410256,94.87179487,Montreal
2020,november,de Kent / de la Côte-des-Neiges,45.5014493,-73.6330506,Parc Kent (de Kent / Hudson),45.5057209,-73.6294591,39,771.2564103,92.30769231,Montreal
2020,november,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.5542138,-73.5515597,de la Salle / Ste-Catherine,45.5499633,-73.5344338,39,459.7179487,87.17948718,Montreal
2020,november,de Rouen / Fullum,45.5321632,-73.5585429,Métro Frontenac (Ontario / du Havre),45.533706,-73.5521793,38,193.1578947,100,Montreal
2020,november,Métro Viau (Pierre-de-Coubertin / Viau),45.5617828,-73.5466111,Clark / Ontario,45.5108239,-73.5671715,38,454.3684211,89.47368421,Montreal
2020,november,Garnier / du Mont-Royal,45.53092,-73.57674,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,37,310.1891892,100,Montreal
2020,november,Métro Verdun (Willibrord / de Verdun),45.4594877,-73.5720921,Beatty / de Verdun,45.45073,-73.5725749,37,347.5135135,100,Montreal
2020,november,Bennett / Pierre-de-Coubertin,45.5581597,-73.5484001,Bennett / Ste-Catherine,45.5530533,-73.5324275,37,467,94.59459459,Montreal
2020,november,Métro Viau (Pierre-de-Coubertin / Viau),45.5617828,-73.5466111,Ontario / Viau,45.5594818,-73.535496,36,355.4722222,88.88888889,Montreal
2020,november,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4716686,-73.5826439,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4716686,-73.5826439,36,1663.861111,50,Montreal
2020,november,Métro Monk (Allard / Beaulieu),45.4510309,-73.5939011,Hamilton / Jolicoeur,45.4567028,-73.5976427,36,232.3333333,88.88888889,Montreal
2020,november,Métro Vendôme (de Marlowe / de Maisonneuve),45.4739303,-73.6047345,Victoria / de Maisonneuve,45.4774286,-73.6001694,35,276.9714286,91.42857143,Montreal
2020,november,Gauthier / Papineau,45.5296663,-73.5673365,Gauthier / Papineau,45.5296663,-73.5673365,35,1306.942857,94.28571429,Montreal
2020,november,Gauthier / Papineau,45.5296663,-73.5673365,Marquette / du Mont-Royal,45.53229,-73.57544,35,333.4285714,100,Montreal
2020,november,Aylwin / Ontario,45.5443031,-73.5454725,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,35,216.7428571,94.28571429,Montreal
2020,november,Marquette / Jean-Talon,45.5474078,-73.6076689,Marquette / Villeray,45.5507398,-73.6152944,35,221.0571429,100,Montreal
2020,november,Elgar / de l'Île-des-Sœurs,45.4568232,-73.5468042,Place du Commerce,45.46714,-73.54259,35,787.9428571,68.57142857,Montreal
