Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2019,july,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,1586,1915.996217,16.07818411,Montreal
2019,july,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,702,1869.400285,11.96581197,Montreal
2019,july,de la Commune / King,45.49751503,-73.55257094,Marché Atwater,45.48020823,-73.57759863,618,1369.846278,38.34951456,Montreal
2019,july,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,Parc Plage,45.50282786,-73.52779269,614,1093.086319,37.94788274,Montreal
2019,july,Parc Plage,45.50282786,-73.52779269,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,602,1008.986711,27.74086379,Montreal
2019,july,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / St-Sulpice,45.50424246,-73.55346948,552,1932.088768,16.30434783,Montreal
2019,july,Marché Atwater,45.48020823,-73.57759863,de la Commune / King,45.49751503,-73.55257094,505,1291.80396,30.4950495,Montreal
2019,july,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Desjardins / Ontario,45.55119189,-73.54087248,486,266.6255144,94.23868313,Montreal
2019,july,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,481,1395.503119,17.87941788,Montreal
2019,july,de la Commune / King,45.49751503,-73.55257094,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,459,901.0413943,30.06535948,Montreal
2019,july,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,de Lanaudière / Laurier,45.53331361,-73.58373687,456,279.5614035,99.12280702,Montreal
2019,july,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,Marquette / Laurier,45.53543,-73.5822,412,335.3082524,96.3592233,Montreal
2019,july,de la Commune / Berri,45.51086,-73.54983,de la Commune / King,45.49751503,-73.55257094,405,852.9259259,51.60493827,Montreal
2019,july,La Ronde,45.52156537,-73.53533238,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,405,792.4074074,44.19753086,Montreal
2019,july,de la Commune / St-Sulpice,45.50424246,-73.55346948,Marché Atwater,45.48020823,-73.57759863,396,1677.217172,30.3030303,Montreal
2019,july,Marquette / Laurier,45.53543,-73.5822,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,390,357.5282051,92.82051282,Montreal
2019,july,de la Commune / King,45.49751503,-73.55257094,de la Commune / Berri,45.51086,-73.54983,382,846.6675393,54.18848168,Montreal
2019,july,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,des Seigneurs / Notre-Dame,45.48772279,-73.56908262,381,213.5065617,93.43832021,Montreal
2019,july,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Marché Maisonneuve,45.55321884,-73.53978217,375,365.6506667,95.2,Montreal
