Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2019,june,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,881,1865.702611,15.77752554,Montreal
2019,june,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,583,1761.732419,14.92281304,Montreal
2019,june,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / St-Sulpice,45.50424246,-73.55346948,505,1949.439604,15.04950495,Montreal
2019,june,de la Commune / King,45.49751503,-73.55257094,Marché Atwater,45.48020823,-73.57759863,464,1379.053879,45.25862069,Montreal
2019,june,de la Commune / King,45.49751503,-73.55257094,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,405,851.417284,34.56790123,Montreal
2019,june,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Shearer / Centre,45.48300562,-73.56218666,377,235.8196286,96.55172414,Montreal
2019,june,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,de Lanaudière / Laurier,45.53331361,-73.58373687,360,260.0611111,98.88888889,Montreal
2019,june,Marché Atwater,45.48020823,-73.57759863,de la Commune / King,45.49751503,-73.55257094,354,1362.827684,37.00564972,Montreal
2019,june,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Marché Maisonneuve,45.55321884,-73.53978217,346,357.8728324,94.79768786,Montreal
2019,june,Shearer / Centre,45.48300562,-73.56218666,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,343,257.148688,96.50145773,Montreal
2019,june,de la Commune / St-Sulpice,45.50424246,-73.55346948,Marché Atwater,45.48020823,-73.57759863,332,1679.355422,31.3253012,Montreal
2019,june,Marquette / Laurier,45.53543,-73.5822,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,330,367.4909091,94.84848485,Montreal
2019,june,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,des Seigneurs / Notre-Dame,45.48772279,-73.56908262,327,230.3058104,96.02446483,Montreal
2019,june,Marché Atwater,45.48020823,-73.57759863,de la Commune / St-Sulpice,45.50424246,-73.55346948,326,1489.116564,29.44785276,Montreal
2019,june,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,321,1578.084112,23.98753894,Montreal
2019,june,de la Commune / Berri,45.51086,-73.54983,de la Commune / Berri,45.51086,-73.54983,303,1704.30363,22.11221122,Montreal
2019,june,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,Marquette / Laurier,45.53543,-73.5822,302,335.4006623,94.0397351,Montreal
2019,june,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,Casino de Montréal,45.5063732,-73.52457672,300,1210.47,35,Montreal
2019,june,de la Commune / Berri,45.51086,-73.54983,de la Commune / King,45.49751503,-73.55257094,294,796.5442177,52.38095238,Montreal
2019,june,La Ronde,45.52156537,-73.53533238,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,290,1007.417241,38.62068966,Montreal
2019,june,de la Commune / King,45.49751503,-73.55257094,de la Commune / Berri,45.51086,-73.54983,281,706.3558719,56.93950178,Montreal
2019,june,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / King,45.49751503,-73.55257094,279,1166.275986,40.14336918,Montreal
2019,june,Augustin-Cantin / Shearer,45.48401829,-73.5634366,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,277,269.166065,94.22382671,Montreal
