Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2019,may,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,Metro Jean-Drapeau (Chemin Macdonald),45.51280058,-73.53111595,518,2091.945946,11.1969112,Montreal
2019,may,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,503,1547.759443,11.1332008,Montreal
2019,may,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Shearer / Centre,45.48300562,-73.56218666,420,242.252381,96.66666667,Montreal
2019,may,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / St-Sulpice,45.50424246,-73.55346948,417,1926.510791,16.06714628,Montreal
2019,may,Shearer / Centre,45.48300562,-73.56218666,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,380,253.2815789,98.42105263,Montreal
2019,may,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,Marquette / Laurier,45.53543,-73.5822,368,324.1222826,91.0326087,Montreal
2019,may,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,des Seigneurs / Notre-Dame,45.48772279,-73.56908262,338,219.5443787,97.04142012,Montreal
2019,may,Augustin-Cantin / Shearer,45.48401829,-73.5634366,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,317,273.1072555,96.84542587,Montreal
2019,may,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,de Lanaudière / Laurier,45.53331361,-73.58373687,316,241.2405063,98.73417722,Montreal
2019,may,de la Commune / King,45.49751503,-73.55257094,Marché Atwater,45.48020823,-73.57759863,315,1502.263492,41.9047619,Montreal
2019,may,de la Commune / King,45.49751503,-73.55257094,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,311,990.7813505,31.83279743,Montreal
2019,may,Métro Joliette  (Joliette / Hochelaga),45.54690718,-73.55155706,Valois / Ontario,45.54740496,-73.54467452,285,235.2842105,97.89473684,Montreal
2019,may,de la Commune / St-Sulpice,45.50424246,-73.55346948,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,284,1614.947183,20.77464789,Montreal
2019,may,Marquette / Laurier,45.53543,-73.5822,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,284,332.7147887,94.71830986,Montreal
2019,may,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Bourgeoys / Favard,45.47993042,-73.55592102,277,437.3501805,94.22382671,Montreal
2019,may,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Marché Maisonneuve,45.55321884,-73.53978217,271,329.0369004,99.26199262,Montreal
2019,may,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,Laurier / de Brébeuf,45.53251396,-73.58481109,267,256.1685393,98.50187266,Montreal
2019,may,Marché Atwater,45.48020823,-73.57759863,de la Commune / King,45.49751503,-73.55257094,267,1404.198502,35.20599251,Montreal
2019,may,Gerry-Boulet / St-Grégoire,45.53373523,-73.58930647,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147,260,269.1923077,99.23076923,Montreal
2019,may,Marché Atwater,45.48020823,-73.57759863,de la Commune / St-Sulpice,45.50424246,-73.55346948,252,1514.702381,27.38095238,Montreal
2019,may,de la Commune / King,45.49751503,-73.55257094,de la Commune / Berri,45.51086,-73.54983,249,804.4297189,61.44578313,Montreal
2019,may,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.55421376,-73.55155975,Desjardins / Ontario,45.55119189,-73.54087248,246,276.1097561,96.34146341,Montreal
2019,may,de la Commune / King,45.49751503,-73.55257094,de la Commune / King,45.49751503,-73.55257094,244,1570.885246,30.73770492,Montreal
2019,may,Garnier / du Mont-Royal,45.53092,-73.57674,Resther / du Mont-Royal,45.52562819,-73.58177483,241,277.7302905,97.9253112,Montreal
2019,may,Métro Joliette  (Joliette / Hochelaga),45.54690718,-73.55155706,Aylwin / Ontario,45.54428417,-73.5453397,240,212.9583333,99.16666667,Montreal
2019,may,Métro Charlevoix (Centre / Charlevoix),45.47822787,-73.56965125,Augustin-Cantin / Shearer,45.48401829,-73.5634366,236,266.3389831,96.61016949,Montreal
2019,may,Pontiac / Gilford,45.52700933,-73.58576596,Gilford / de Lanaudière,45.532008,-73.58044446,233,266.8927039,100,Montreal
2019,may,Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.49831218,-73.56725603,Ottawa / Peel,45.49390895,-73.55950713,232,289.1982759,93.96551724,Montreal
2019,may,de la Commune / Berri,45.51086,-73.54983,de la Commune / King,45.49751503,-73.55257094,231,846.1991342,60.17316017,Montreal
2019,may,Argyle / de Verdun,45.45301584,-73.57191503,Métro Verdun (Willibrord / de Verdun),45.45948769,-73.57209206,231,204.969697,89.61038961,Montreal
2019,may,des Seigneurs / Notre-Dame,45.48772279,-73.56908262,Métro Georges-Vanier (St-Antoine / Canning),45.4891,-73.57656,230,250.6695652,96.52173913,Montreal
