Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Rosemont / Viau,45.537087799999995,-73.5932185,Rosemont / Viau,45.537087799999995,-73.5932185,70.0,1678.1,51.42857142857142
Kirkfield / de Chambois,45.537087799999995,-73.5932185,Kirkfield / de Chambois,45.537087799999995,-73.5932185,69.0,1654.2608695652175,13.043478260869565
Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,66.0,2445.4545454545455,59.09090909090909
Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,Marché Atwater,45.537087799999995,-73.5932185,62.0,1206.758064516129,67.74193548387096
de la Commune / St-Sulpice,45.537087799999995,-73.5932185,de la Commune / St-Sulpice,45.537087799999995,-73.5932185,57.0,1936.5964912280701,36.84210526315789
Querbes / Laurier,45.537087799999995,-73.5932185,Querbes / Laurier,45.537087799999995,-73.5932185,54.0,1897.611111111111,24.074074074074073
Paré / Mountain Sights,45.537087799999995,-73.5932185,Paré / Mountain Sights,45.537087799999995,-73.5932185,46.0,1785.0217391304348,73.91304347826086
Hutchison / Van Horne,45.537087799999995,-73.5932185,Hutchison / Van Horne,45.537087799999995,-73.5932185,45.0,1092.5333333333333,62.22222222222222
Ottawa / Peel,45.537087799999995,-73.5932185,Ottawa / Peel,45.537087799999995,-73.5932185,44.0,1577.7727272727273,77.27272727272727
Elgar / de l'Île-des-Sœurs,45.537087799999995,-73.5932185,Elgar / de l'Île-des-Sœurs,45.537087799999995,-73.5932185,44.0,1945.5454545454545,40.909090909090914
de la Commune / Berri,45.537087799999995,-73.5932185,de la Commune / Berri,45.537087799999995,-73.5932185,42.0,2212.190476190476,38.095238095238095
St-Joseph / 34e avenue Lachine,45.537087799999995,-73.5932185,St-Joseph / 34e avenue Lachine,45.537087799999995,-73.5932185,41.0,1933.0,41.46341463414634
Parc Outremont (Bloomfield / Elmwood),45.537087799999995,-73.5932185,Parc Outremont (Bloomfield / Elmwood),45.537087799999995,-73.5932185,40.0,1399.825,17.5
19e avenue / St-Zotique,45.537087799999995,-73.5932185,19e avenue / St-Zotique,45.537087799999995,-73.5932185,40.0,2137.6,62.5
Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,Léa-Roback / Sir-Georges-Etienne-Cartier,45.537087799999995,-73.5932185,38.0,1316.7105263157894,63.1578947368421
de la Commune / Place Jacques-Cartier,45.537087799999995,-73.5932185,de la Commune / Place Jacques-Cartier,45.537087799999995,-73.5932185,37.0,1691.5945945945946,29.72972972972973
Wolfe / René-Lévesque,45.537087799999995,-73.5932185,Wolfe / René-Lévesque,45.537087799999995,-73.5932185,37.0,1468.054054054054,78.37837837837837
Bloomfield / Van Horne,45.537087799999995,-73.5932185,Bloomfield / Van Horne,45.537087799999995,-73.5932185,36.0,1400.9166666666667,33.33333333333333
de la Côte St-Paul / St-Ambroise,45.537087799999995,-73.5932185,de la Côte St-Paul / St-Ambroise,45.537087799999995,-73.5932185,36.0,1673.0277777777778,58.333333333333336
Gagne / LaSalle,45.537087799999995,-73.5932185,Gagne / LaSalle,45.537087799999995,-73.5932185,36.0,2673.027777777778,47.22222222222222
Marché Atwater,45.537087799999995,-73.5932185,Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,34.0,1049.9705882352941,76.47058823529412
Waverly / St-Viateur,45.537087799999995,-73.5932185,Waverly / St-Viateur,45.537087799999995,-73.5932185,33.0,1274.969696969697,48.484848484848484
des Bassins / du Séminaire,45.537087799999995,-73.5932185,des Bassins / du Séminaire,45.537087799999995,-73.5932185,32.0,2099.625,62.5
Léa-Roback / Sir-Georges-Etienne-Cartier,45.537087799999995,-73.5932185,Léa-Roback / Sir-Georges-Etienne-Cartier,45.537087799999995,-73.5932185,32.0,2149.5625,43.75
Square St-Louis (du Square St-Louis / Laval),45.537087799999995,-73.5932185,Square St-Louis (du Square St-Louis / Laval),45.537087799999995,-73.5932185,30.0,1706.0,100.0
Léa-Roback / Sir-Georges-Etienne-Cartier,45.537087799999995,-73.5932185,Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,30.0,1491.9666666666667,63.33333333333333
Métro Papineau (Cartier / Ste-Catherine),45.537087799999995,-73.5932185,Métro Papineau (Cartier / Ste-Catherine),45.537087799999995,-73.5932185,29.0,2060.0344827586205,72.41379310344827
Villeneuve / du Parc,45.537087799999995,-73.5932185,Villeneuve / du Parc,45.537087799999995,-73.5932185,29.0,1553.2413793103449,86.20689655172413
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.537087799999995,-73.5932185,Parc Jeanne-Mance (du Mont-Royal / du Parc),45.537087799999995,-73.5932185,28.0,2111.5,60.71428571428571
Bloomfield / Bernard,45.537087799999995,-73.5932185,Bloomfield / Bernard,45.537087799999995,-73.5932185,28.0,1539.2142857142858,60.71428571428571
St-Cyril / Wiseman,45.537087799999995,-73.5932185,St-Cyril / Wiseman,45.537087799999995,-73.5932185,28.0,1422.8214285714287,25.0
2e avenue / Jean-Rivard,45.537087799999995,-73.5932185,2e avenue / Jean-Rivard,45.537087799999995,-73.5932185,27.0,1432.037037037037,37.03703703703704
Duluth / St-Laurent,45.537087799999995,-73.5932185,St-Hubert / Duluth,45.537087799999995,-73.5932185,27.0,222.92592592592592,100.0
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.537087799999995,-73.5932185,Métro Université de Montréal (Édouard-Montpetit / Louis-Collin),45.537087799999995,-73.5932185,27.0,1654.5185185185185,62.96296296296296
Notre-Dame / Liébert,45.537087799999995,-73.5932185,Notre-Dame / Liébert,45.537087799999995,-73.5932185,27.0,2112.185185185185,40.74074074074074
Jeanne-Mance / Bernard,45.537087799999995,-73.5932185,Jeanne-Mance / Bernard,45.537087799999995,-73.5932185,25.0,1180.72,48.0
Querbes / Laurier,45.537087799999995,-73.5932185,Parc Outremont (Bloomfield / Elmwood),45.537087799999995,-73.5932185,25.0,1668.72,24.0
McLynn / Plamondon,45.537087799999995,-73.5932185,McLynn / Plamondon,45.537087799999995,-73.5932185,25.0,1505.28,76.0
Gary-Carter / St-Laurent,45.537087799999995,-73.5932185,Gary-Carter / St-Laurent,45.537087799999995,-73.5932185,25.0,2353.12,28.000000000000004
Louis-Hémon / Villeray,45.537087799999995,-73.5932185,Louis-Hémon / Villeray,45.537087799999995,-73.5932185,25.0,1992.56,64.0
Basile-Routhier / Chabanel,45.537087799999995,-73.5932185,Basile-Routhier / Chabanel,45.537087799999995,-73.5932185,25.0,2473.4,76.0
St-Joseph / 8e avenue Lachine,45.537087799999995,-73.5932185,St-Joseph / 34e avenue Lachine,45.537087799999995,-73.5932185,25.0,1420.72,60.0
Bibliothèque du Boisé (Thimens / Todd),45.537087799999995,-73.5932185,Bibliothèque du Boisé (Thimens / Todd),45.537087799999995,-73.5932185,25.0,1680.64,72.0
St-Hubert / Duluth,45.537087799999995,-73.5932185,Duluth / St-Laurent,45.537087799999995,-73.5932185,24.0,216.33333333333334,100.0
de Bullion / St-Joseph,45.537087799999995,-73.5932185,du Mont-Royal / Clark,45.537087799999995,-73.5932185,24.0,248.625,100.0
Duluth / de l'Esplanade,45.537087799999995,-73.5932185,McLynn / Plamondon,45.537087799999995,-73.5932185,24.0,1715.4166666666667,100.0
Montcalm / Ontario,45.537087799999995,-73.5932185,Montcalm / de Maisonneuve,45.537087799999995,-73.5932185,24.0,413.0416666666667,100.0
St-Viateur / St-Laurent,45.537087799999995,-73.5932185,Casgrain / Mozart,45.537087799999995,-73.5932185,23.0,392.39130434782606,95.65217391304348
LaSalle / Crawford,45.537087799999995,-73.5932185,LaSalle / Crawford,45.537087799999995,-73.5932185,23.0,1983.5652173913043,52.17391304347826
Métro Henri-Bourassa (Henri-Bourassa / Millen),45.537087799999995,-73.5932185,Métro Henri-Bourassa (Henri-Bourassa / Millen),45.537087799999995,-73.5932185,23.0,2299.2608695652175,65.21739130434783
Thimens / Alexis-Nihon,45.537087799999995,-73.5932185,Thimens / Alexis-Nihon,45.537087799999995,-73.5932185,23.0,1805.7826086956522,13.043478260869565
Métro Charlevoix (Centre / Charlevoix),45.537087799999995,-73.5932185,Ryde / Charlevoix,45.537087799999995,-73.5932185,23.0,145.2173913043478,100.0
de la Commune / St-Sulpice,45.537087799999995,-73.5932185,Normand / Marguerite-d’Youville,45.537087799999995,-73.5932185,22.0,1168.909090909091,50.0
St-Nicolas / Place d'Youville,45.537087799999995,-73.5932185,St-Nicolas / Place d'Youville,45.537087799999995,-73.5932185,22.0,2249.090909090909,54.54545454545454
