Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Parc Jean-Drapeau (Chemin Macdonald),45.4936796,-73.5791463,Parc Jean-Drapeau (Chemin Macdonald),45.494434999999996,-73.5740983,540.0,1936.137037037037,27.962962962962962
de la Commune / Place Jacques-Cartier,45.4936796,-73.5791463,de la Commune / Place Jacques-Cartier,45.494434999999996,-73.5740983,470.0,1892.0,15.53191489361702
de la Commune / St-Sulpice,45.4936796,-73.5791463,de la Commune / St-Sulpice,45.494434999999996,-73.5740983,434.0,2141.147465437788,19.12442396313364
Métro Mont-Royal (Rivard / du Mont-Royal),45.4936796,-73.5791463,Métro Mont-Royal (Rivard / du Mont-Royal),45.494434999999996,-73.5740983,302.0,1277.6953642384105,90.39735099337747
Rosemont / Viau,45.4936796,-73.5791463,Rosemont / Viau,45.494434999999996,-73.5740983,281.0,1650.320284697509,50.177935943060504
Parc Jean-Drapeau (Chemin Macdonald),45.4936796,-73.5791463,Parc Plage,45.494434999999996,-73.5740983,269.0,1132.5018587360594,47.95539033457249
Parc Plage,45.4936796,-73.5791463,Parc Jean-Drapeau (Chemin Macdonald),45.494434999999996,-73.5740983,257.0,1108.4669260700389,48.249027237354085
de la Commune / Berri,45.4936796,-73.5791463,de la Commune / Berri,45.494434999999996,-73.5740983,226.0,1605.4469026548672,31.41592920353982
Crescent / de Maisonneuve,45.4936796,-73.5791463,Crescent / de Maisonneuve,45.494434999999996,-73.5740983,209.0,1104.0,89.95215311004785
Marché Atwater,45.4936796,-73.5791463,de la Commune / St-Sulpice,45.494434999999996,-73.5740983,206.0,1442.7572815533981,36.89320388349515
de la Commune / St-Sulpice,45.4936796,-73.5791463,Marché Atwater,45.494434999999996,-73.5740983,205.0,1392.7512195121951,41.46341463414634
La Ronde,45.4936796,-73.5791463,Parc Jean-Drapeau (Chemin Macdonald),45.494434999999996,-73.5740983,199.0,910.7587939698492,31.65829145728643
St-Joseph / 8e avenue Lachine,45.4936796,-73.5791463,St-Joseph / 8e avenue Lachine,45.494434999999996,-73.5740983,199.0,2147.316582914573,41.70854271356784
de la Commune / St-Sulpice,45.4936796,-73.5791463,de la Commune / Place Jacques-Cartier,45.494434999999996,-73.5740983,175.0,1629.0514285714285,20.0
Métro Joliette  (Joliette / Hochelaga),45.4936796,-73.5791463,Aylwin / Ontario,45.494434999999996,-73.5740983,174.0,232.45402298850576,91.37931034482759
Parc Jean-Drapeau (Chemin Macdonald),45.4936796,-73.5791463,La Ronde,45.494434999999996,-73.5740983,171.0,867.0760233918129,33.91812865497076
Métro Atwater (Atwater / Ste-Catherine),45.4936796,-73.5791463,St-Mathieu / Ste-Catherine,45.494434999999996,-73.5740983,165.0,465.8121212121212,81.81818181818183
Métro Joliette  (Joliette / Hochelaga),45.4936796,-73.5791463,Valois / Ontario,45.494434999999996,-73.5740983,162.0,291.85185185185185,95.06172839506173
