Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Parc Jean-Drapeau (Chemin Macdonald),45.48020820000001,-73.57759859999999,Parc Jean-Drapeau (Chemin Macdonald),45.4905646,-73.5603333,582.0,1806.5051546391753,38.144329896907216
de la Commune / Place Jacques-Cartier,45.48020820000001,-73.57759859999999,de la Commune / Place Jacques-Cartier,45.4905646,-73.5603333,432.0,1787.5578703703704,18.51851851851852
de la Commune / St-Sulpice,45.48020820000001,-73.57759859999999,de la Commune / St-Sulpice,45.4905646,-73.5603333,427.0,1966.1943793911007,24.824355971896956
Rosemont / Viau,45.48020820000001,-73.57759859999999,Rosemont / Viau,45.4905646,-73.5603333,335.0,1716.2865671641791,49.55223880597015
Marché Atwater,45.48020820000001,-73.57759859999999,de la Commune / St-Sulpice,45.4905646,-73.5603333,247.0,1377.0445344129555,37.65182186234818
de la Commune / Berri,45.48020820000001,-73.57759859999999,de la Commune / Berri,45.4905646,-73.5603333,227.0,1957.0528634361233,33.03964757709251
Parc Jean-Drapeau (Chemin Macdonald),45.48020820000001,-73.57759859999999,Parc Plage,45.4905646,-73.5603333,223.0,1044.4484304932735,47.98206278026906
St-Joseph / 34e avenue Lachine,45.48020820000001,-73.57759859999999,St-Joseph / 34e avenue Lachine,45.4905646,-73.5603333,221.0,2169.5656108597286,33.03167420814479
St-Joseph / 8e avenue Lachine,45.48020820000001,-73.57759859999999,St-Joseph / 8e avenue Lachine,45.4905646,-73.5603333,219.0,1999.2465753424658,52.51141552511416
de la Commune / St-Sulpice,45.48020820000001,-73.57759859999999,de la Commune / Place Jacques-Cartier,45.4905646,-73.5603333,202.0,1413.7178217821781,32.67326732673268
Parc Plage,45.48020820000001,-73.57759859999999,Parc Jean-Drapeau (Chemin Macdonald),45.4905646,-73.5603333,195.0,1016.2205128205128,41.02564102564102
Notre-Dame / Liébert,45.48020820000001,-73.57759859999999,Notre-Dame / Liébert,45.4905646,-73.5603333,190.0,1943.2,67.36842105263158
Métro Laurier (Rivard / Laurier),45.48020820000001,-73.57759859999999,Laurier / de Brébeuf,45.4905646,-73.5603333,182.0,262.532967032967,93.95604395604396
de la Commune / St-Sulpice,45.48020820000001,-73.57759859999999,Marché Atwater,45.4905646,-73.5603333,181.0,1388.5193370165746,38.12154696132597
Mackay / René-Lévesque,45.48020820000001,-73.57759859999999,Mackay / René-Lévesque,45.4905646,-73.5603333,179.0,1004.977653631285,78.77094972067039
St-Joseph / 8e avenue Lachine,45.48020820000001,-73.57759859999999,St-Joseph / 34e avenue Lachine,45.4905646,-73.5603333,171.0,1304.2163742690059,48.53801169590643
Crescent / de Maisonneuve,45.48020820000001,-73.57759859999999,Crescent / de Maisonneuve,45.4905646,-73.5603333,163.0,1131.7484662576687,95.70552147239265
Léa-Roback / Sir-Georges-Etienne-Cartier,45.48020820000001,-73.57759859999999,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4905646,-73.5603333,162.0,1728.2407407407406,49.382716049382715
Métro Atwater (Atwater / Ste-Catherine),45.48020820000001,-73.57759859999999,St-Mathieu / Ste-Catherine,45.4905646,-73.5603333,158.0,387.34177215189874,89.87341772151899
des Bassins / du Séminaire,45.48020820000001,-73.57759859999999,des Bassins / du Séminaire,45.4905646,-73.5603333,156.0,1685.724358974359,64.1025641025641
Métro Viau (Pierre-de-Coubertin / Viau),45.48020820000001,-73.57759859999999,de Ville-Marie / Ste-Catherine,45.4905646,-73.5603333,149.0,404.9530201342282,86.57718120805369
Parc Jeanne Mance (monument sir George-Etienne Cartier),45.48020820000001,-73.57759859999999,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.4905646,-73.5603333,148.0,1821.7837837837837,76.35135135135135
Young / Wellington,45.48020820000001,-73.57759859999999,Young / Wellington,45.4905646,-73.5603333,148.0,1442.9256756756756,78.37837837837837
Métro Mont-Royal (Rivard / du Mont-Royal),45.48020820000001,-73.57759859999999,Métro Mont-Royal (Rivard / du Mont-Royal),45.4905646,-73.5603333,147.0,1036.7891156462586,89.79591836734694
Place du Commerce,45.48020820000001,-73.57759859999999,Elgar / de l'Île-des-Sœurs,45.4905646,-73.5603333,147.0,701.8979591836735,57.14285714285714
Métro Vendôme (de Marlowe / de Maisonneuve),45.48020820000001,-73.57759859999999,Métro Atwater (Atwater / Ste-Catherine),45.4905646,-73.5603333,145.0,761.5310344827586,93.10344827586206
Métro Atwater (Atwater / Ste-Catherine),45.48020820000001,-73.57759859999999,Métro Vendôme (de Marlowe / de Maisonneuve),45.4905646,-73.5603333,145.0,778.6758620689656,89.65517241379311
