Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
de la Commune / Place Jacques-Cartier,45.54690720000001,-73.5515571,de la Commune / Place Jacques-Cartier,45.5443031,-73.5454725,669.0,1934.7488789237668,17.937219730941703
Parc Jean-Drapeau (Chemin Macdonald),45.54690720000001,-73.5515571,Parc Jean-Drapeau (Chemin Macdonald),45.5443031,-73.5454725,613.0,1759.226753670473,45.02446982055465
de la Commune / Berri,45.54690720000001,-73.5515571,de la Commune / Berri,45.5443031,-73.5454725,496.0,2002.3266129032259,29.03225806451613
de la Commune / St-Sulpice,45.54690720000001,-73.5515571,de la Commune / St-Sulpice,45.5443031,-73.5454725,485.0,2249.274226804124,21.237113402061855
Kirkfield / de Chambois,45.54690720000001,-73.5515571,Kirkfield / de Chambois,45.5443031,-73.5454725,412.0,1480.5849514563106,17.475728155339805
Rosemont / Viau,45.54690720000001,-73.5515571,Rosemont / Viau,45.5443031,-73.5454725,344.0,1733.9883720930231,44.47674418604651
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,de la Commune / Place Jacques-Cartier,45.5443031,-73.5454725,319.0,1119.153605015674,32.9153605015674
Hutchison / Van Horne,45.54690720000001,-73.5515571,Hutchison / Van Horne,45.5443031,-73.5454725,316.0,1101.5474683544303,79.43037974683544
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,Marché Atwater,45.5443031,-73.5454725,259.0,1231.3976833976833,57.52895752895753
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,Normand / Marguerite-d’Youville,45.5443031,-73.5454725,248.0,2039.8306451612902,47.17741935483871
de la Commune / St-Sulpice,45.54690720000001,-73.5515571,de la Commune / Place Jacques-Cartier,45.5443031,-73.5454725,232.0,1625.353448275862,25.862068965517242
Marché Atwater,45.54690720000001,-73.5515571,Normand / Marguerite-d’Youville,45.5443031,-73.5454725,227.0,1202.8149779735684,50.66079295154186
St-Joseph / 34e avenue Lachine,45.54690720000001,-73.5515571,St-Joseph / 34e avenue Lachine,45.5443031,-73.5454725,226.0,1872.2522123893805,41.150442477876105
St-Joseph / 8e avenue Lachine,45.54690720000001,-73.5515571,St-Joseph / 8e avenue Lachine,45.5443031,-73.5454725,220.0,2312.4863636363634,45.0
Parc Jean-Drapeau (Chemin Macdonald),45.54690720000001,-73.5515571,Normand / Marguerite-d’Youville,45.5443031,-73.5454725,210.0,1759.857142857143,51.42857142857142
McLynn / Plamondon,45.54690720000001,-73.5515571,McLynn / Plamondon,45.5443031,-73.5454725,208.0,1604.6826923076924,44.230769230769226
Notre-Dame / Liébert,45.54690720000001,-73.5515571,Notre-Dame / Liébert,45.5443031,-73.5454725,202.0,2048.262376237624,56.930693069306926
Normand / Marguerite-d’Youville,45.54690720000001,-73.5515571,de la Commune / Berri,45.5443031,-73.5454725,191.0,1191.6439790575917,38.21989528795812
St-Joseph / 8e avenue Lachine,45.54690720000001,-73.5515571,St-Joseph / 34e avenue Lachine,45.5443031,-73.5454725,189.0,1252.6825396825398,49.735449735449734
de la Commune / Berri,45.54690720000001,-73.5515571,Normand / Marguerite-d’Youville,45.5443031,-73.5454725,188.0,1160.7340425531916,48.40425531914894
Léa-Roback / Sir-Georges-Etienne-Cartier,45.54690720000001,-73.5515571,Léa-Roback / Sir-Georges-Etienne-Cartier,45.5443031,-73.5454725,186.0,1715.8225806451612,46.236559139784944
de Kent / de la Côte-des-Neiges,45.54690720000001,-73.5515571,de Kent / de la Côte-des-Neiges,45.5443031,-73.5454725,183.0,1797.8360655737704,46.994535519125684
de la Commune / Berri,45.54690720000001,-73.5515571,de la Commune / Place Jacques-Cartier,45.5443031,-73.5454725,175.0,1575.0,41.714285714285715
des Bassins / du Séminaire,45.54690720000001,-73.5515571,des Bassins / du Séminaire,45.5443031,-73.5454725,175.0,1585.3142857142857,57.714285714285715
