Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Kirkfield / de Chambois,45.46714,-73.54259,Kirkfield / de Chambois,45.4599858,-73.5439557,468.0,1492.5641025641025,13.034188034188036
de la Commune / Place Jacques-Cartier,45.46714,-73.54259,de la Commune / Place Jacques-Cartier,45.4599858,-73.5439557,415.0,2005.489156626506,18.313253012048193
de la Commune / St-Sulpice,45.46714,-73.54259,de la Commune / St-Sulpice,45.4599858,-73.5439557,406.0,2281.233990147783,21.67487684729064
de la Commune / Berri,45.46714,-73.54259,de la Commune / Berri,45.4599858,-73.5439557,397.0,1875.448362720403,30.730478589420656
Rosemont / Viau,45.46714,-73.54259,Rosemont / Viau,45.4599858,-73.5439557,382.0,1843.565445026178,36.38743455497382
Hutchison / Van Horne,45.46714,-73.54259,Hutchison / Van Horne,45.4599858,-73.5439557,342.0,1138.2426900584796,68.71345029239765
Normand / Marguerite-d’Youville,45.46714,-73.54259,Normand / Marguerite-d’Youville,45.4599858,-73.5439557,329.0,2093.404255319149,56.838905775075986
St-Joseph / 34e avenue Lachine,45.46714,-73.54259,St-Joseph / 34e avenue Lachine,45.4599858,-73.5439557,259.0,2154.4440154440153,38.22393822393823
Paré / Mountain Sights,45.46714,-73.54259,Paré / Mountain Sights,45.4599858,-73.5439557,242.0,2048.3512396694214,41.735537190082646
Léa-Roback / Sir-Georges-Etienne-Cartier,45.46714,-73.54259,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4599858,-73.5439557,240.0,1800.2416666666666,58.333333333333336
Normand / Marguerite-d’Youville,45.46714,-73.54259,Marché Atwater,45.4599858,-73.5439557,235.0,1264.2085106382979,50.638297872340424
St-Joseph / 8e avenue Lachine,45.46714,-73.54259,St-Joseph / 8e avenue Lachine,45.4599858,-73.5439557,222.0,2273.2162162162163,31.98198198198198
Notre-Dame / Liébert,45.46714,-73.54259,Notre-Dame / Liébert,45.4599858,-73.5439557,217.0,2176.3640552995394,52.995391705069125
Normand / Marguerite-d’Youville,45.46714,-73.54259,de la Commune / Place Jacques-Cartier,45.4599858,-73.5439557,214.0,977.5280373831775,36.915887850467286
Durocher / Bernard,45.46714,-73.54259,Durocher / Bernard,45.4599858,-73.5439557,207.0,1380.719806763285,59.42028985507246
Campus MIL (Outremont / Thérèse-Lavoie Roux),45.46714,-73.54259,Campus MIL (Outremont / Thérèse-Lavoie Roux),45.4599858,-73.5439557,201.0,1370.6666666666667,36.318407960199
des Bassins / du Séminaire,45.46714,-73.54259,des Bassins / du Séminaire,45.4599858,-73.5439557,188.0,1959.9840425531916,62.76595744680851
Léa-Roback / Sir-Georges-Etienne-Cartier,45.46714,-73.54259,Normand / Marguerite-d’Youville,45.4599858,-73.5439557,171.0,1437.3976608187133,51.461988304093566
Normand / Marguerite-d’Youville,45.46714,-73.54259,Léa-Roback / Sir-Georges-Etienne-Cartier,45.4599858,-73.5439557,168.0,1472.904761904762,55.35714285714286
McLynn / Plamondon,45.46714,-73.54259,McLynn / Plamondon,45.4599858,-73.5439557,165.0,1822.2060606060606,44.24242424242424
Marché Atwater,45.46714,-73.54259,Normand / Marguerite-d’Youville,45.4599858,-73.5439557,164.0,1305.9451219512196,50.609756097560975
