Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Mackay / René-Lévesque,45.5290021,-73.5461994,Mackay / René-Lévesque,45.52353,-73.55199,139.0,1014.0575539568346,90.64748201438849
Parc Jean-Drapeau (Chemin Macdonald),45.5290021,-73.5461994,Parc Jean-Drapeau (Chemin Macdonald),45.52353,-73.55199,126.0,1753.484126984127,26.984126984126984
de la Commune / St-Sulpice,45.5290021,-73.5461994,de la Commune / St-Sulpice,45.52353,-73.55199,75.0,1767.24,44.0
Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5290021,-73.5461994,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.52353,-73.55199,67.0,2537.686567164179,65.67164179104478
Rosemont / Viau,45.5290021,-73.5461994,Rosemont / Viau,45.52353,-73.55199,67.0,1472.6567164179105,43.28358208955223
Métro Laurier (Rivard / Laurier),45.5290021,-73.5461994,Laurier / de Brébeuf,45.52353,-73.55199,64.0,263.234375,95.3125
Marquette / Laurier,45.5290021,-73.5461994,Métro Laurier (Rivard / Laurier),45.52353,-73.55199,61.0,314.6885245901639,96.72131147540983
St-Joseph / 34e avenue Lachine,45.5290021,-73.5461994,St-Joseph / 34e avenue Lachine,45.52353,-73.55199,61.0,1682.377049180328,32.78688524590164
Métro Laurier (Rivard / Laurier),45.5290021,-73.5461994,de Lanaudière / Laurier,45.52353,-73.55199,60.0,228.1,91.66666666666666
de la Commune / Place Jacques-Cartier,45.5290021,-73.5461994,de la Commune / Place Jacques-Cartier,45.52353,-73.55199,59.0,1761.9322033898304,32.20338983050847
Métro Laurier (Rivard / Laurier),45.5290021,-73.5461994,Marquette / Laurier,45.52353,-73.55199,59.0,274.9491525423729,96.61016949152543
Marché Atwater,45.5290021,-73.5461994,de la Commune / St-Sulpice,45.52353,-73.55199,52.0,1425.2115384615386,28.846153846153843
Crescent / de Maisonneuve,45.5290021,-73.5461994,Crescent / de Maisonneuve,45.52353,-73.55199,51.0,858.8627450980392,88.23529411764706
de la Commune / St-Sulpice,45.5290021,-73.5461994,Marché Atwater,45.52353,-73.55199,50.0,1430.36,32.0
du Mont-Royal / Clark,45.5290021,-73.5461994,Métro Mont-Royal (Rivard / du Mont-Royal),45.52353,-73.55199,46.0,532.1304347826087,91.30434782608695
Métro Joliette  (Joliette / Hochelaga),45.5290021,-73.5461994,Aylwin / Ontario,45.52353,-73.55199,46.0,190.56521739130434,95.65217391304348
Marquette / du Mont-Royal,45.5290021,-73.5461994,Gauthier / Papineau,45.52353,-73.55199,45.0,342.22222222222223,100.0
Pontiac / Gilford,45.5290021,-73.5461994,Gilford / de Brébeuf,45.52353,-73.55199,44.0,184.70454545454547,100.0
de la Commune / Berri,45.5290021,-73.5461994,de la Commune / Berri,45.52353,-73.55199,43.0,2529.9302325581393,37.2093023255814
Pontiac / Gilford,45.5290021,-73.5461994,Gilford / de Lanaudière,45.52353,-73.55199,42.0,243.14285714285714,92.85714285714286
Métro Mont-Royal (Rivard / du Mont-Royal),45.5290021,-73.5461994,Garnier / du Mont-Royal,45.52353,-73.55199,41.0,405.5853658536585,92.6829268292683
Gilford / de Lanaudière,45.5290021,-73.5461994,Pontiac / Gilford,45.52353,-73.55199,41.0,239.34146341463415,100.0
Métro Joliette  (Joliette / Hochelaga),45.5290021,-73.5461994,Valois / Ontario,45.52353,-73.55199,41.0,300.390243902439,92.6829268292683
Desjardins / Ontario,45.5290021,-73.5461994,Bennett / Ste-Catherine,45.52353,-73.55199,41.0,300.1951219512195,97.5609756097561
Léa-Roback / Sir-Georges-Etienne-Cartier,45.5290021,-73.5461994,Marché Atwater,45.52353,-73.55199,41.0,654.8048780487804,60.97560975609756
Bennett / Ste-Catherine,45.5290021,-73.5461994,Bennett / Pierre-de-Coubertin,45.52353,-73.55199,41.0,392.4634146341463,92.6829268292683
St-Joseph / 8e avenue Lachine,45.5290021,-73.5461994,St-Joseph / 8e avenue Lachine,45.52353,-73.55199,41.0,1979.8292682926829,48.78048780487805
Laurier / de Brébeuf,45.5290021,-73.5461994,Métro Laurier (Rivard / Laurier),45.52353,-73.55199,40.0,241.925,97.5
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.5290021,-73.5461994,Desjardins / Ontario,45.52353,-73.55199,40.0,376.6,95.0
Métro Verdun (Willibrord / de Verdun),45.5290021,-73.5461994,Argyle / de Verdun,45.52353,-73.55199,40.0,208.875,97.5
Métro Villa-Maria (de Monkland / Décarie),45.5290021,-73.5461994,de Hampton / de Monkland,45.52353,-73.55199,39.0,380.35897435897436,97.43589743589743
Parc Kent (de Kent / Hudson),45.5290021,-73.5461994,de Kent / de la Côte-des-Neiges,45.52353,-73.55199,39.0,699.6410256410256,94.87179487179486
de Kent / de la Côte-des-Neiges,45.5290021,-73.5461994,Parc Kent (de Kent / Hudson),45.52353,-73.55199,39.0,771.2564102564103,92.3076923076923
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.5290021,-73.5461994,de la Salle / Ste-Catherine,45.52353,-73.55199,39.0,459.71794871794873,87.17948717948718
de Rouen / Fullum,45.5290021,-73.5461994,Métro Frontenac (Ontario / du Havre),45.52353,-73.55199,38.0,193.1578947368421,100.0
Métro Viau (Pierre-de-Coubertin / Viau),45.5290021,-73.5461994,Clark / Ontario,45.52353,-73.55199,38.0,454.36842105263156,89.47368421052632
Garnier / du Mont-Royal,45.5290021,-73.5461994,Métro Mont-Royal (Rivard / du Mont-Royal),45.52353,-73.55199,37.0,310.18918918918916,100.0
Métro Verdun (Willibrord / de Verdun),45.5290021,-73.5461994,Beatty / de Verdun,45.52353,-73.55199,37.0,347.5135135135135,100.0
Bennett / Pierre-de-Coubertin,45.5290021,-73.5461994,Bennett / Ste-Catherine,45.52353,-73.55199,37.0,467.0,94.5945945945946
Métro Viau (Pierre-de-Coubertin / Viau),45.5290021,-73.5461994,Ontario / Viau,45.52353,-73.55199,36.0,355.47222222222223,88.88888888888889
Léa-Roback / Sir-Georges-Etienne-Cartier,45.5290021,-73.5461994,Léa-Roback / Sir-Georges-Etienne-Cartier,45.52353,-73.55199,36.0,1663.861111111111,50.0
Métro Monk (Allard / Beaulieu),45.5290021,-73.5461994,Hamilton / Jolicoeur,45.52353,-73.55199,36.0,232.33333333333334,88.88888888888889
Métro Vendôme (de Marlowe / de Maisonneuve),45.5290021,-73.5461994,Victoria / de Maisonneuve,45.52353,-73.55199,35.0,276.9714285714286,91.42857142857143
Gauthier / Papineau,45.5290021,-73.5461994,Gauthier / Papineau,45.52353,-73.55199,35.0,1306.942857142857,94.28571428571428
Gauthier / Papineau,45.5290021,-73.5461994,Marquette / du Mont-Royal,45.52353,-73.55199,35.0,333.42857142857144,100.0
Aylwin / Ontario,45.5290021,-73.5461994,Métro Joliette  (Joliette / Hochelaga),45.52353,-73.55199,35.0,216.74285714285713,94.28571428571428
Marquette / Jean-Talon,45.5290021,-73.5461994,Marquette / Villeray,45.52353,-73.55199,35.0,221.05714285714285,100.0
Elgar / de l'Île-des-Sœurs,45.5290021,-73.5461994,Place du Commerce,45.52353,-73.55199,35.0,787.9428571428572,68.57142857142857
Crescent / de Maisonneuve,45.5290021,-73.5461994,Mackay / René-Lévesque,45.52353,-73.55199,34.0,883.1764705882352,82.35294117647058
Place du Commerce,45.5290021,-73.5461994,Elgar / de l'Île-des-Sœurs,45.52353,-73.55199,34.0,524.0588235294117,73.52941176470588
Bloomfield / Bernard,45.5290021,-73.5461994,Jeanne-Mance / St-Viateur,45.52353,-73.55199,33.0,250.8181818181818,100.0
Marché Atwater,45.5290021,-73.5461994,des Bassins / du Séminaire,45.52353,-73.55199,33.0,660.7575757575758,72.72727272727273
Argyle / de Verdun,45.5290021,-73.5461994,Métro Verdun (Willibrord / de Verdun),45.52353,-73.55199,33.0,198.33333333333334,100.0
Gilford / de Brébeuf,45.5290021,-73.5461994,Pontiac / Gilford,45.52353,-73.55199,32.0,163.96875,100.0
Marquette / Villeray,45.5290021,-73.5461994,Marquette / Jean-Talon,45.52353,-73.55199,32.0,212.1875,100.0
Métro Georges-Vanier (St-Antoine / Canning),45.5290021,-73.5461994,des Seigneurs / Notre-Dame,45.52353,-73.55199,32.0,189.59375,90.625
Jean Langlois / Fullum,45.5290021,-73.5461994,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,32.0,335.21875,100.0
Notre-Dame / Liébert,45.5290021,-73.5461994,Notre-Dame / Liébert,45.52353,-73.55199,32.0,1405.125,68.75
de la Commune / Place Jacques-Cartier,45.5290021,-73.5461994,de la Commune / Berri,45.52353,-73.55199,31.0,1277.4516129032259,35.483870967741936
Métro Papineau (Cartier / Ste-Catherine),45.5290021,-73.5461994,Poupart / Ste-Catherine,45.52353,-73.55199,31.0,247.41935483870967,100.0
McLynn / Plamondon,45.5290021,-73.5461994,McLynn / Plamondon,45.52353,-73.55199,31.0,2364.0,64.51612903225806
de Maisonneuve / Greene,45.5290021,-73.5461994,Melville / de Maisonneuve,45.52353,-73.55199,31.0,576.9354838709677,67.74193548387096
Métro Vendôme (de Marlowe / de Maisonneuve),45.5290021,-73.5461994,de Maisonneuve / Greene,45.52353,-73.55199,30.0,568.2333333333333,73.33333333333333
Laurier / de Brébeuf,45.5290021,-73.5461994,Cartier / Masson,45.52353,-73.55199,30.0,262.73333333333335,100.0
Roy / St-Laurent,45.5290021,-73.5461994,Roy / St-Denis,45.52353,-73.55199,30.0,151.06666666666666,90.0
Bloomfield / Bernard,45.5290021,-73.5461994,St-Cyril / Wiseman,45.52353,-73.55199,30.0,680.0,86.66666666666667
Métro Charlevoix (Centre / Charlevoix),45.5290021,-73.5461994,Richardson / de Montmorency,45.52353,-73.55199,30.0,454.8333333333333,90.0
