Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Parc Jean-Drapeau (Chemin Macdonald),45.47393029999999,-73.60473449999999,Parc Jean-Drapeau (Chemin Macdonald),45.4774286,-73.6001694,322.0,1925.2670807453417,36.024844720496894
Crescent / de Maisonneuve,45.47393029999999,-73.60473449999999,Crescent / de Maisonneuve,45.4774286,-73.6001694,227.0,1023.2466960352423,96.47577092511013
Rosemont / Viau,45.47393029999999,-73.60473449999999,Rosemont / Viau,45.4774286,-73.6001694,163.0,1799.6748466257668,37.423312883435585
Mackay / René-Lévesque,45.47393029999999,-73.60473449999999,Mackay / René-Lévesque,45.4774286,-73.6001694,158.0,951.8544303797469,94.9367088607595
Métro Laurier (Rivard / Laurier),45.47393029999999,-73.60473449999999,Laurier / de Brébeuf,45.4774286,-73.6001694,157.0,286.1656050955414,97.45222929936305
Métro Laurier (Rivard / Laurier),45.47393029999999,-73.60473449999999,Marquette / Laurier,45.4774286,-73.6001694,153.0,290.9477124183006,97.38562091503267
de la Commune / St-Sulpice,45.47393029999999,-73.60473449999999,de la Commune / St-Sulpice,45.4774286,-73.6001694,142.0,1884.880281690141,41.54929577464789
de la Commune / Place Jacques-Cartier,45.47393029999999,-73.60473449999999,de la Commune / Place Jacques-Cartier,45.4774286,-73.6001694,139.0,1807.913669064748,15.827338129496402
St-Joseph / 34e avenue Lachine,45.47393029999999,-73.60473449999999,St-Joseph / 34e avenue Lachine,45.4774286,-73.6001694,138.0,1876.2753623188405,27.536231884057973
St-Joseph / 8e avenue Lachine,45.47393029999999,-73.60473449999999,St-Joseph / 8e avenue Lachine,45.4774286,-73.6001694,135.0,2039.2592592592594,62.96296296296296
Métro Laurier (Rivard / Laurier),45.47393029999999,-73.60473449999999,de Lanaudière / Laurier,45.4774286,-73.6001694,131.0,235.06870229007635,96.18320610687023
Marquette / Laurier,45.47393029999999,-73.60473449999999,Métro Laurier (Rivard / Laurier),45.4774286,-73.6001694,127.0,328.99212598425197,89.76377952755905
Parc Jean-Drapeau (Chemin Macdonald),45.47393029999999,-73.60473449999999,Parc Plage,45.4774286,-73.6001694,125.0,1286.728,53.6
Métro Joliette  (Joliette / Hochelaga),45.47393029999999,-73.60473449999999,Aylwin / Ontario,45.4774286,-73.6001694,124.0,213.58870967741936,96.7741935483871
Laurier / de Brébeuf,45.47393029999999,-73.60473449999999,Métro Laurier (Rivard / Laurier),45.4774286,-73.6001694,117.0,260.8888888888889,95.72649572649573
Métro Joliette  (Joliette / Hochelaga),45.47393029999999,-73.60473449999999,Valois / Ontario,45.4774286,-73.6001694,114.0,226.5438596491228,98.24561403508771
Parc Plage,45.47393029999999,-73.60473449999999,Parc Jean-Drapeau (Chemin Macdonald),45.4774286,-73.6001694,109.0,1227.2201834862385,44.95412844036697
Métro Papineau (Cartier / Ste-Catherine),45.47393029999999,-73.60473449999999,Poupart / Ste-Catherine,45.4774286,-73.6001694,109.0,301.0550458715596,95.41284403669725
Gilford / de Lanaudière,45.47393029999999,-73.60473449999999,Pontiac / Gilford,45.4774286,-73.6001694,101.0,239.75247524752476,100.0
Pontiac / Gilford,45.47393029999999,-73.60473449999999,Gilford / de Lanaudière,45.4774286,-73.6001694,98.0,209.19387755102042,98.9795918367347
Parc Jeanne Mance (monument sir George-Etienne Cartier),45.47393029999999,-73.60473449999999,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.4774286,-73.6001694,92.0,2759.695652173913,73.91304347826086
du Mont-Royal / Clark,45.47393029999999,-73.60473449999999,Métro Mont-Royal (Rivard / du Mont-Royal),45.4774286,-73.6001694,92.0,338.04347826086956,93.47826086956522
