Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member
Parc Jean-Drapeau (Chemin Macdonald),45.4676657,-73.5939178,Parc Jean-Drapeau (Chemin Macdonald),45.48020820000001,-73.57759859999999,390.0,1910.7897435897437,28.974358974358978
Crescent / de Maisonneuve,45.4676657,-73.5939178,Crescent / de Maisonneuve,45.48020820000001,-73.57759859999999,365.0,1016.1808219178082,90.13698630136986
de la Commune / Place Jacques-Cartier,45.4676657,-73.5939178,de la Commune / Place Jacques-Cartier,45.48020820000001,-73.57759859999999,284.0,1544.6267605633802,16.901408450704224
de la Commune / St-Sulpice,45.4676657,-73.5939178,de la Commune / St-Sulpice,45.48020820000001,-73.57759859999999,213.0,1934.924882629108,25.352112676056336
Métro Laurier (Rivard / Laurier),45.4676657,-73.5939178,Marquette / Laurier,45.48020820000001,-73.57759859999999,191.0,323.9895287958115,94.76439790575915
Marquette / Laurier,45.4676657,-73.5939178,Métro Laurier (Rivard / Laurier),45.48020820000001,-73.57759859999999,183.0,356.6448087431694,89.61748633879782
Métro Joliette  (Joliette / Hochelaga),45.4676657,-73.5939178,Aylwin / Ontario,45.48020820000001,-73.57759859999999,174.0,238.20689655172413,98.27586206896551
Rosemont / Viau,45.4676657,-73.5939178,Rosemont / Viau,45.48020820000001,-73.57759859999999,162.0,1428.858024691358,42.592592592592595
Métro Joliette  (Joliette / Hochelaga),45.4676657,-73.5939178,Valois / Ontario,45.48020820000001,-73.57759859999999,161.0,277.85093167701865,95.03105590062113
Parc Jean-Drapeau (Chemin Macdonald),45.4676657,-73.5939178,Parc Plage,45.48020820000001,-73.57759859999999,146.0,1315.164383561644,35.61643835616438
Parc Père-Marquette (Chambord / Rosemont),45.4676657,-73.5939178,Métro Rosemont (de St-Vallier / Rosemont),45.48020820000001,-73.57759859999999,145.0,303.2206896551724,97.24137931034483
Métro Verdun (Willibrord / de Verdun),45.4676657,-73.5939178,Argyle / de Verdun,45.48020820000001,-73.57759859999999,143.0,229.14685314685315,90.9090909090909
Argyle / de Verdun,45.4676657,-73.5939178,Métro Verdun (Willibrord / de Verdun),45.48020820000001,-73.57759859999999,142.0,244.31690140845072,97.88732394366197
Métro Atwater (Atwater / Ste-Catherine),45.4676657,-73.5939178,St-Mathieu / Ste-Catherine,45.48020820000001,-73.57759859999999,138.0,391.9347826086956,96.37681159420289
de la Commune / Berri,45.4676657,-73.5939178,de la Commune / Berri,45.48020820000001,-73.57759859999999,135.0,1881.4222222222222,32.592592592592595
Métro Laurier (Rivard / Laurier),45.4676657,-73.5939178,de Lanaudière / Laurier,45.48020820000001,-73.57759859999999,135.0,233.88888888888889,97.03703703703704
Ontario / Viau,45.4676657,-73.5939178,Métro Viau (Pierre-de-Coubertin / Viau),45.48020820000001,-73.57759859999999,134.0,330.5223880597015,96.26865671641791
de la Commune / St-Sulpice,45.4676657,-73.5939178,de la Commune / Place Jacques-Cartier,45.48020820000001,-73.57759859999999,133.0,1638.766917293233,23.308270676691727
Ryde / Charlevoix,45.4676657,-73.5939178,Métro Charlevoix (Centre / Charlevoix),45.48020820000001,-73.57759859999999,128.0,166.75,96.875
Métro Papineau (Cartier / Ste-Catherine),45.4676657,-73.5939178,Poupart / Ste-Catherine,45.48020820000001,-73.57759859999999,127.0,271.18897637795277,95.2755905511811
Aylwin / Ontario,45.4676657,-73.5939178,Métro Joliette  (Joliette / Hochelaga),45.48020820000001,-73.57759859999999,127.0,220.76377952755905,99.21259842519686
Métro Viau (Pierre-de-Coubertin / Viau),45.4676657,-73.5939178,Ontario / Viau,45.48020820000001,-73.57759859999999,127.0,360.62992125984255,88.18897637795276
Métro Georges-Vanier (St-Antoine / Canning),45.4676657,-73.5939178,des Seigneurs / Notre-Dame,45.48020820000001,-73.57759859999999,127.0,270.45669291338584,92.1259842519685
Marquette / du Mont-Royal,45.4676657,-73.5939178,Marquette / Laurier,45.48020820000001,-73.57759859999999,126.0,247.53174603174602,97.61904761904762
Parc Plage,45.4676657,-73.5939178,Parc Jean-Drapeau (Chemin Macdonald),45.48020820000001,-73.57759859999999,125.0,1192.68,35.199999999999996
Valois / Ontario,45.4676657,-73.5939178,Métro Joliette  (Joliette / Hochelaga),45.48020820000001,-73.57759859999999,125.0,254.24,92.0
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.4676657,-73.5939178,Desjardins / Ontario,45.48020820000001,-73.57759859999999,125.0,297.808,89.60000000000001
Métro Laurier (Rivard / Laurier),45.4676657,-73.5939178,Laurier / de Brébeuf,45.48020820000001,-73.57759859999999,122.0,233.81147540983608,96.72131147540983
St-Joseph / 34e avenue Lachine,45.4676657,-73.5939178,St-Joseph / 34e avenue Lachine,45.48020820000001,-73.57759859999999,119.0,1738.126050420168,27.73109243697479
Parc Jeanne Mance (monument sir George-Etienne Cartier),45.4676657,-73.5939178,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.48020820000001,-73.57759859999999,117.0,1905.3076923076924,60.68376068376068
Marquette / Villeray,45.4676657,-73.5939178,Marquette / Jean-Talon,45.48020820000001,-73.57759859999999,116.0,190.06034482758622,95.6896551724138
