Year,Month,Start Station,Start Latitude,Start Longitude,End Station,End Latitude,End Longitude,Occurence,Average Duration,Percentage Member,Location
2020,october,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,322,1925.267081,36.02484472,Montreal
2020,october,Crescent / de Maisonneuve,45.4981116,-73.5776154,Crescent / de Maisonneuve,45.4981116,-73.5776154,227,1023.246696,96.47577093,Montreal
2020,october,Rosemont / Viau,45.5683302,-73.5666633,Rosemont / Viau,45.5683302,-73.5666633,163,1799.674847,37.42331288,Montreal
2020,october,Mackay / René-Lévesque,45.494435,-73.5740983,Mackay / René-Lévesque,45.494435,-73.5740983,158,951.8544304,94.93670886,Montreal
2020,october,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Laurier / de Brébeuf,45.532514,-73.5848111,157,286.1656051,97.4522293,Montreal
2020,october,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,Marquette / Laurier,45.53543,-73.5822,153,290.9477124,97.38562092,Montreal
2020,october,de la Commune / St-Sulpice,45.5042425,-73.5534695,de la Commune / St-Sulpice,45.5042425,-73.5534695,142,1884.880282,41.54929577,Montreal
2020,october,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836,139,1807.913669,15.82733813,Montreal
2020,october,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,St-Joseph / 34e avenue Lachine,45.4328398,-73.6934915,138,1876.275362,27.53623188,Montreal
2020,october,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,St-Joseph / 8e avenue Lachine,45.4314714,-73.671205,135,2039.259259,62.96296296,Montreal
2020,october,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,de Lanaudière / Laurier,45.5333136,-73.5837369,131,235.0687023,96.18320611,Montreal
2020,october,Marquette / Laurier,45.53543,-73.5822,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,127,328.992126,89.76377953,Montreal
2020,october,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,Parc Plage,45.5026587,-73.5275352,125,1286.728,53.6,Montreal
2020,october,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,Aylwin / Ontario,45.5443031,-73.5454725,124,213.5887097,96.77419355,Montreal
2020,october,Laurier / de Brébeuf,45.532514,-73.5848111,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,117,260.8888889,95.72649573,Montreal
2020,october,Métro Joliette  (Joliette / Hochelaga),45.5469072,-73.5515571,Valois / Ontario,45.5470481,-73.5434461,114,226.5438596,98.24561404,Montreal
2020,october,Parc Plage,45.5026587,-73.5275352,Parc Jean-Drapeau (Chemin Macdonald),45.5128006,-73.5311159,109,1227.220183,44.95412844,Montreal
2020,october,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199,Poupart / Ste-Catherine,45.5290021,-73.5461994,109,301.0550459,95.41284404,Montreal
2020,october,Gilford / de Lanaudière,45.532008,-73.5804445,Pontiac / Gilford,45.5270093,-73.585766,101,239.7524752,100,Montreal
2020,october,Pontiac / Gilford,45.5270093,-73.585766,Gilford / de Lanaudière,45.532008,-73.5804445,98,209.1938776,98.97959184,Montreal
2020,october,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.5148399,-73.5847789,92,2759.695652,73.91304348,Montreal
2020,october,du Mont-Royal / Clark,45.51941,-73.58685,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255,92,338.0434783,93.47826087,Montreal
2020,october,Métro Viau (Pierre-de-Coubertin / Viau),45.5617828,-73.5466111,Clark / Ontario,45.5108239,-73.5671715,92,471.4565217,89.13043478,Montreal
2020,october,Cartier / Masson,45.5380207,-73.5835236,Cartier / Masson,45.5380207,-73.5835236,91,1132.692308,100,Montreal
2020,october,de Lanaudière / Laurier,45.5333136,-73.5837369,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147,89,272.1685393,97.75280899,Montreal
